Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
238224,0.025404432,-0.045564772,5588,80.40%,DeKalb,51375,3292,9632,250489,1.10%,3.10%,64392,1,77.90%,21.00%,Georgia,305908,311496,16.50%,-0.639218481,0.01826693
2442,-0.053316279,0.043545227,-738,26.20%,Dodge,5021,77,138,1836,1.00%,2.00%,5214,1,31.60%,67.40%,Georgia,7733,6995,71.80%,0.455325232,-0.095435148
2285,-0.046762541,0.044153111,-462,48.50%,Dooly,1941,28,35,1860,0.70%,0.90%,1985,1,53.20%,46.20%,Georgia,4298,3836,50.60%,0.021115746,-0.107491857
26295,-0.008937797,-0.000497857,-3991,68.50%,Dougherty,10227,172,474,23224,0.50%,1.40%,11449,1,69.40%,30.20%,Georgia,37916,33925,30.10%,-0.383109801,-0.105258994
28441,0.02509648,-0.042604362,2118,54.00%,Douglas,24803,565,1591,30971,1.00%,2.80%,26241,1,51.50%,47.50%,Georgia,55247,57365,43.20%,-0.107522008,0.038336923
2765,-0.063793346,0.055991852,-571,45.30%,Early,2552,31,65,2165,0.60%,1.40%,2557,1,51.70%,47.80%,Georgia,5353,4782,53.40%,0.080928482,-0.106669157
173,-0.024221338,0.024046801,73,13.30%,Echols,1006,12,13,156,1.10%,1.10%,917,1,15.70%,83.20%,Georgia,1102,1175,85.60%,0.723404255,0.066243194
4947,-0.030587495,0.013492437,2604,20.70%,Effingham,17865,248,679,4851,1.20%,2.90%,15596,1,23.80%,75.00%,Georgia,20791,23395,76.40%,0.556272708,0.125246501
3181,-0.073781804,0.069241625,-231,31.70%,Elbert,5269,103,136,2507,1.30%,1.70%,4859,1,39.10%,59.70%,Georgia,8143,7912,66.60%,0.34908999,-0.028367923
2927,-0.051752012,0.048988491,-244,31.00%,Emanuel,5330,55,75,2433,0.70%,1.00%,5100,1,36.20%,63.10%,Georgia,8082,7838,68.00%,0.369609594,-0.030190547
1268,-0.042165274,0.030864756,39,31.40%,Evans,2404,27,68,1130,0.80%,1.90%,2268,1,35.60%,63.70%,Georgia,3563,3602,66.70%,0.353692393,0.010945832
2028,-0.039347139,0.033160785,1752,16.30%,Fannin,9622,127,222,1920,1.30%,1.90%,7857,1,20.30%,78.50%,Georgia,10012,11764,81.80%,0.654709283,0.174990012
19736,0.047945163,-0.070285328,1850,38.50%,Fayette,35034,726,2098,23255,1.20%,3.50%,38075,1,33.70%,65.00%,Georgia,58537,60387,58.00%,0.195058539,0.031603943
9640,-0.027161064,0.00957677,1421,26.60%,Floyd,24045,456,1078,9127,1.40%,3.10%,22733,1,29.40%,69.20%,Georgia,32829,34250,70.20%,0.435562044,0.043284901
14571,0.062349259,-0.089609204,15632,24.10%,Forsyth,69801,1203,4086,23427,1.50%,4.20%,65908,1,17.80%,80.70%,Georgia,81682,97314,71.70%,0.476539861,0.191376313
1499,-0.046511025,0.044440462,715,14.70%,Franklin,7054,146,177,1243,1.90%,2.10%,6114,1,19.30%,78.80%,Georgia,7759,8474,83.20%,0.685744631,0.09215105
255470,0.049185116,-0.074109735,9918,69.20%,Fulton,110372,4661,14926,281875,1.20%,3.70%,137124,1,64.30%,34.50%,Georgia,397255,407173,27.10%,-0.421204255,0.024966331
1958,-0.023929607,0.01304425,1695,15.40%,Gilmer,10465,134,293,1955,1.20%,2.30%,8926,1,17.80%,81.00%,Georgia,11018,12713,82.30%,0.669393534,0.153839172
176,-0.032752433,0.037026343,57,9.90%,Glascock,1235,22,17,138,1.70%,1.20%,1135,1,13.20%,85.10%,Georgia,1333,1390,88.80%,0.789208633,0.04276069
11950,-0.015946126,0.000311425,917,34.50%,Glynn,21482,281,821,11738,0.80%,2.40%,20893,1,36.10%,63.10%,Georgia,33124,34041,63.10%,0.28624306,0.027683855
3440,-0.035230994,0.023292587,1964,16.80%,Gordon,15171,249,503,3176,1.50%,2.70%,13197,1,20.40%,78.20%,Georgia,16886,18850,80.50%,0.636339523,0.116309369
3419,-0.036901833,0.027530269,-206,32.70%,Grady,6047,50,135,3005,0.50%,1.50%,5924,1,36.40%,63.10%,Georgia,9393,9187,65.80%,0.331120061,-0.021931225
3201,-0.022916456,0.012171673,508,36.20%,Greene,5488,51,149,3194,0.60%,1.70%,5071,1,38.50%,60.90%,Georgia,8323,8831,62.10%,0.259766731,0.061035684
